?cls	?xref
<http://purl.obolibrary.org/obo/XAO_0000170>	"UBERON:0002418"
<http://purl.obolibrary.org/obo/XAO_0000189>	"UBERON:0001690"
<http://purl.obolibrary.org/obo/XAO_0000126>	"UBERON:0000167"
<http://purl.obolibrary.org/obo/XAO_0004594>	"UBERON:0014913"
<http://purl.obolibrary.org/obo/XAO_0003238>	"CL:0000058"
<http://purl.obolibrary.org/obo/XAO_0004539>	"UBERON:0002743"
<http://purl.obolibrary.org/obo/XAO_0004275>	"UBERON:0011142"
<http://purl.obolibrary.org/obo/XAO_0000086>	"UBERON:0003065"
<http://purl.obolibrary.org/obo/XAO_0000259>	"UBERON:0003077"
<http://purl.obolibrary.org/obo/XAO_0005292>	"UBERON:0022300"
<http://purl.obolibrary.org/obo/XAO_0005000>	"UBERON:0007475"
<http://purl.obolibrary.org/obo/XAO_0005503>	"UBERON:0036070"
<http://purl.obolibrary.org/obo/XAO_0003030>	"UBERON:0002102"
<http://purl.obolibrary.org/obo/XAO_0000318>	"UBERON:0004739"
<http://purl.obolibrary.org/obo/XAO_0000394>	"UBERON:0002016"
<http://purl.obolibrary.org/obo/XAO_0000209>	"UBERON:0000045"
<http://purl.obolibrary.org/obo/XAO_0001001>	"UBERON:0003099"
<http://purl.obolibrary.org/obo/XAO_0004137>	"UBERON:0007274"
<http://purl.obolibrary.org/obo/XAO_0003173>	"UBERON:0005902"
<http://purl.obolibrary.org/obo/XAO_0000072>	"UBERON:0003062"
<http://purl.obolibrary.org/obo/XAO_0000245>	"GO:0032019"
<http://purl.obolibrary.org/obo/XAO_0003001>	"UBERON:0000480"
<http://purl.obolibrary.org/obo/XAO_0003001>	"CARO:0000054"
<http://purl.obolibrary.org/obo/XAO_0004289>	"UBERON:0010912"
<http://purl.obolibrary.org/obo/XAO_0005311>	"GO:0030016"
<http://purl.obolibrary.org/obo/XAO_0000017>	"UBERON:0000007"
<http://purl.obolibrary.org/obo/XAO_0004551>	"UBERON:0005376"
<http://purl.obolibrary.org/obo/XAO_0004081>	"UBERON:0005507"
