?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/XAO_0004367>	"The wide gap that separates the palatoquadrate from the neurocranium."	
<http://purl.obolibrary.org/obo/XAO_0001021>	"Outer layer of cells of the differentiating notochord, which give rise to the elastica externa and interna."	
<http://purl.obolibrary.org/obo/XAO_0004612>	"Type of epithelial cell that secretes a macromolecule or ion product. In many epithelia, occasional specialized secretory cells are scattered among other, non-secretory cells."	
<http://purl.obolibrary.org/obo/XAO_0003236>	"A surface epithelial cell of stratified squamous epithelium of cornea, tongue, oral cavity, esophagus or cloaca."	"CL:0000073"
<http://purl.obolibrary.org/obo/XAO_0005167>	"A type of endocrine cell that is found in the islets of Langerhans and produces the hormone ghrelin."	
<http://purl.obolibrary.org/obo/XAO_0000087>	"The anatomical region of the body posterior to the tail."	"UBERON:0006071"
<http://purl.obolibrary.org/obo/XAO_0005110>	"Blastomere which lies lateral to blastomere V2.1.1, in the fourth tier of blastomeres. It contributes cells to the epidermis and neural crest, spinal cord, somites, foregut, hindgut, and fewer cells to the head, pharyngeal mesoderm and proctodeum."	
<http://purl.obolibrary.org/obo/XAO_0005300>	"The epithelium of the stomach."	"UBERON:0001276"
<http://purl.obolibrary.org/obo/XAO_0006006>	"A thin cytoplasmic process/physical structure that bridges two cells (e.g., photoreceptor cells or retinal ganglion cells)."	
<http://purl.obolibrary.org/obo/XAO_0004040>	"Bone tissue mineralized with hydroxyapatite."	"UBERON:4000115"
<http://purl.obolibrary.org/obo/XAO_0005301>	"Ventral region of early embryonic endoderm."	
<http://purl.obolibrary.org/obo/XAO_0000197>	"A vestibular structure of the inner ear consisting of a ventral diverticulum off of the sacculus."	"UBERON:0001844"
<http://purl.obolibrary.org/obo/XAO_0003222>	"Retinal layer composed of the basal lamina of Muller cells."	"UBERON:0001794"
<http://purl.obolibrary.org/obo/XAO_0000255>	"Fifth of the pharyngeal (endodermal) evaginations between the visceral arches."	"UBERON:0007126"
<http://purl.obolibrary.org/obo/XAO_0001001>	"The most anterior of 5 distinct and partially overlapping functional domains of the premigratory neural crest, which are intially part of the neural epithelium. CNC cells migrate through the extracelluar matrix in 4 highly conserved streams: the mandibular crest, hyoid crest, anterior branchial crest and the posterior branchial crest."	"UBERON:0003099"
<http://purl.obolibrary.org/obo/XAO_0004232>	"The exit for respiratory water in the tadpole."	
<http://purl.obolibrary.org/obo/XAO_0005003>	"Epithelium that covers the small and large intestine in the larval frog."	
<http://purl.obolibrary.org/obo/XAO_0000149>		
<http://purl.obolibrary.org/obo/XAO_0004436>	"The presumptive cells of the transversus ventralis II muscle."	
<http://purl.obolibrary.org/obo/XAO_0004392>	"A type of mucus surface cell in the tadpole."	
<http://purl.obolibrary.org/obo/XAO_0003255>	"A cell of the middle germ layer of the embryo."	"CL:0000222"
<http://purl.obolibrary.org/obo/XAO_0003010>	"The main artery of the circulatory system which carries oxygenated blood from the heart to all the arteries of the body except those of the lungs."	"UBERON:0000947"
<http://purl.obolibrary.org/obo/XAO_1000092>	"The developmental stage of the female gamete at which the gamete has reached maturity."	
<http://purl.obolibrary.org/obo/XAO_0004049>	"A layer of dense irregular connective tissue that surrounds the cartilage of developing bone, consisting of two separate layers: an outer fibrous layer and inner chondrogenic layer. The fibrous layer contains fibroblasts, which produce collagenous fibers. The chondrogenic layer remains undifferentiated and can form chondroblasts or chondrocytes. Perichondrium is a type of  connective tissue, and also functions in the growth and repair of cartilage. Once vascularized, the perichondrium becomes the periosteum."	"UBERON:0002222"
<http://purl.obolibrary.org/obo/XAO_0005244>	"Either of the pair of structures lying on either side of the dorsal aorta in which fluid balance is regulated and waste is excreted out in the form of urine."	
<http://purl.obolibrary.org/obo/XAO_0000098>	"The second of the series of bony or cartilaginous arches that develop in the walls of the mouth cavity and pharynx of the embryo."	"UBERON:0003066"
<http://purl.obolibrary.org/obo/XAO_0000054>	"The anatomical region of the body posterior to the head and anterior to the tail."	"UBERON:0002100"
<http://purl.obolibrary.org/obo/XAO_0005231>	"The developing muscle surrounding the caudal end of the cloaca."	
<http://purl.obolibrary.org/obo/XAO_0001011>	"Any of the vessels through which blood circulates in the body."	"UBERON:0001981"
<http://purl.obolibrary.org/obo/XAO_0004158>	"Vein that crosses the head dorsally at NF stage 37/38 and drains into the vena capitis medialis."	"UBERON:0001672"
<http://purl.obolibrary.org/obo/XAO_0006029>	"A progenitor cell that is part of the hematological system and develops into a megakaryocyte or erythrocyte."	
<http://purl.obolibrary.org/obo/XAO_0004222>	"Lateral line placode that gives rise to the middle lateral line nerve."	
<http://purl.obolibrary.org/obo/XAO_0000416>	"The 6th somite located posterior to the head."	
<http://purl.obolibrary.org/obo/XAO_0004055>	"Cartilage tissue that is mineralized."	
<http://purl.obolibrary.org/obo/XAO_1000031>	"Nieuwkoop and Faber stage 10.5, corresponding to an embryo of age 11 hr at 22-24 Celsius and having the following external morphological criteria: Crescent-shaped blastopore stage. Blastopore groove angular. Vegetal field slightly decreased in size, ventral border of future yolk plug indicated by pigment contraction. Length: 1.4 - 1.5 mm."	
<http://purl.obolibrary.org/obo/XAO_0004482>	"Neural crest-derived cell type that gives rise to the epicardium."	
<http://purl.obolibrary.org/obo/XAO_0000375>	"A vessel that contains or conveys lymph."	"UBERON:0001473"
<http://purl.obolibrary.org/obo/XAO_0000339>	"Of the paired ventral aortas in the tadpole, the one that branches into the left aortic arches."	
<http://purl.obolibrary.org/obo/XAO_0004536>	"Nucleus situated in the thalamus that is associated with the limbic system and is implicated in learning and episodic memory."	
<http://purl.obolibrary.org/obo/XAO_0005115>	"Blastomere that is any of blastomeres V1.1 and V1.2 and their children cells after division, V1.1.1, V1.1.2, V1.2.1 and V1.2.2, on the left and right sides of embryo."	
<http://purl.obolibrary.org/obo/XAO_0005168>	"A type of cell that produces pancreatic polypeptides in the pancreatic islets (the islets of Langerhans) of the pancreas."	
<http://purl.obolibrary.org/obo/XAO_0004058>	"Nerve that is a branch of cranial nerve VIII and innervates the cristae ampullaris."	
<http://purl.obolibrary.org/obo/XAO_0004609>	"A spatially aggregated collection of nerve cell bodies in the CNS, consisting of one or more subpopulations that share cell type, chemical phenotype, and connections, and including nearby cells that share the same cell type, chemical phenotype, and connections."	"UBERON:0000125"
<http://purl.obolibrary.org/obo/XAO_0004065>	"Fin margin which is part of the ventral fin."	
<http://purl.obolibrary.org/obo/XAO_0004488>	"Organ part consisting of the main section or midsection of a long bone, which in Xenopus are the tibia-fibula and femur of the hindlimb, and the radio-ulna and humerus of the forelimb."	
<http://purl.obolibrary.org/obo/XAO_0003094>	"Cranial nerve that branches into the supraorbital (supplying the skin of the eye region and the lateral line organs here), the palatine (to the roof of the buccal cavity), and the hyomandibular (dividing into the jugular and mental branches)."	"UBERON:0001647"
<http://purl.obolibrary.org/obo/XAO_0005127>	"Embryonic structure that consists of the anterior part of the foregut and develops into the esophagus and trachea."	
<http://purl.obolibrary.org/obo/XAO_0000442>	"Lateral line situated along the dorsal margin of the eye."	"UBERON:0003090"
<http://purl.obolibrary.org/obo/XAO_0005002>	"An anatomical structure that has more than one cell as a part."	"CARO:0010000 UBERON:0010000"
<http://purl.obolibrary.org/obo/XAO_0000417>	"The 7th somite located posterior to the head."	
<http://purl.obolibrary.org/obo/XAO_1000080>	"Tailbud stage that refers to the later events associated with this stage, comprising Nieuwkoop and Faber stages 29/30 to 44."	
<http://purl.obolibrary.org/obo/XAO_0000147>		
<http://purl.obolibrary.org/obo/XAO_0003156>	"A lymphocyte that can spontaneously kill a variety of target cells without prior antigenic activation via germline encoded activation receptors and also regulate immune responses via cytokine release and direct contact with other cells."	"CL:0000623"
