?x	?p	?y
<http://purl.obolibrary.org/obo/XAO_0004048>	<http://purl.obolibrary.org/obo/xao#end_stage>	<http://purl.obolibrary.org/obo/XAO_0000437>
<http://purl.obolibrary.org/obo/XAO_0003107>	<http://purl.obolibrary.org/obo/RO_0002202>	<http://purl.obolibrary.org/obo/XAO_0000405>
<http://purl.obolibrary.org/obo/XAO_0004010>	<http://purl.obolibrary.org/obo/xao#start_stage>	<http://purl.obolibrary.org/obo/XAO_1000020>
<http://purl.obolibrary.org/obo/XAO_0003178>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/XAO_0003177>
<http://purl.obolibrary.org/obo/XAO_0004322>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/XAO_0003024>
<http://purl.obolibrary.org/obo/XAO_0000134>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/XAO_0000132>
<http://purl.obolibrary.org/obo/XAO_0000305>	<http://purl.obolibrary.org/obo/BFO_0000050>	<http://purl.obolibrary.org/obo/XAO_0000001>
<http://purl.obolibrary.org/obo/XAO_0004387>	<http://purl.obolibrary.org/obo/xao#end_stage>	<http://purl.obolibrary.org/obo/XAO_1000078>
<http://purl.obolibrary.org/obo/XAO_0004416>	<http://purl.obolibrary.org/obo/xao#start_stage>	<http://purl.obolibrary.org/obo/XAO_1000067>
<http://purl.obolibrary.org/obo/XAO_0004450>	<http://purl.obolibrary.org/obo/xao#end_stage>	<http://purl.obolibrary.org/obo/XAO_1000051>
<http://purl.obolibrary.org/obo/XAO_0004424>	<http://purl.obolibrary.org/obo/xao#start_stage>	<http://purl.obolibrary.org/obo/XAO_1000044>
<http://purl.obolibrary.org/obo/XAO_0000412>	<http://purl.obolibrary.org/obo/xao#start_stage>	<http://purl.obolibrary.org/obo/XAO_1000039>
<http://purl.obolibrary.org/obo/XAO_0001010>	<http://purl.obolibrary.org/obo/xao#start_stage>	<http://purl.obolibrary.org/obo/XAO_1000027>
<http://purl.obolibrary.org/obo/XAO_0003063>	<http://purl.obolibrary.org/obo/xao#end_stage>	<http://purl.obolibrary.org/obo/XAO_0000437>
<http://purl.obolibrary.org/obo/XAO_0004599>	<http://purl.obolibrary.org/obo/xao#end_stage>	<http://purl.obolibrary.org/obo/XAO_1000056>
